# 拼音词库，参考 https://gitee.com/hades001/rime-aurora-pinyin.git
# 以下为《通用规范汉字表》中的汉字
览	lan	48
竖	shu	30
省	xing	30
省	sheng	409
削	xue	194
削	xiao	33
尝	chang	38
昧	mei	27
盹	dun	30
是	shi	28130
盼	pan	74
眨	zha	51
哇	wa	102
哄	hong	40
哑	ya	14
显	xian	503
冒	mao	187
冒	mo	30
映	ying	289
星	xing	564
昨	zuo	204
咧	lie	53
昭	zhao	30
畏	wei	20
趴	pa	43
胃	wei	89
贵	gui	180
界	jie	1312
虹	hong	30
虹	jiang	30
虾	ha	30
虾	xia	46
蚁	yi	40
思	si	1636
蚂	ma	40
虽	sui	543
品	pin	876
咽	yan	38
咽	ye	23
骂	ma	182
勋	xun	30
哗	hua	54
咱	zan	752
响	xiang	798
哈	ha	228
哆	duo	30
咬	yao	166
咳	ke	39
咳	hai	46
咪	mi	30
哪	na	1404
哪	ne	30
哪	nei	30
哟	yo	96
炭	tan	73
峡	xia	97
罚	fa	26
贱	jian	29
贴	tie	124
贻	yi	30
骨	gu	247
幽	you	30
钙	gai	11
钝	dun	30
钞	chao	25
钟	zhong	410
钢	gang	526
钠	na	30
钥	yue	30
钥	yao	13
钦	qin	10
钧	jun	30
钩	gou	42
钮	niu	30
卸	xie	28
缸	gang	38
拜	bai	27
看	kan	6108
矩	ju	29
毡	zhan	20
氢	qing	13
怎	zen	2090
牲	sheng	188
选	xuan	339
适	kuo	30
适	shi	356
秒	miao	104
香	xiang	161
种	zhong	3766
种	chong	30
秋	qiu	172
科	ke	1462
重	zhong	1823
重	chong	329
复	fu	558
竿	gan	30
段	duan	531
便	bian	1235
便	pian	58
俩	lia	196
俩	liang	30
贷	dai	30
顺	shun	266
修	xiu	464
俏	qiao	30
保	bao	852
促	cu	140
俄	e	12
俐	li	30
侮	wu	32
俭	jian	9
俗	su	51
俘	fu	31
信	xin	1068
皇	huang	85
泉	quan	47
鬼	gui	224
侵	qin	341
禹	yu	30
侯	hou	30
追	zhui	272
俊	jun	30
盾	dun	279
待	dai	342
徊	huai	17
徊	hui	30
衍	yan	11
律	lv	439
很	hen	3637
须	xu	734
