#	单字
橄	gjed
秆	gjee
酐	gjg
感	gjk
泔	gjn
澉	gjna
淦	gjnb
干	gjo
敢	gjp
疳	gjpa
矸	gjq
坩	gjqa
甘	gjr
绀	gjs
肝	gjt
乾	gjw
旰	gjwa
辊	gkc
棍	gke
鲧	gkj
滚	gkn
磙	gkq
绲	gks
衮	gksa
倌	gla
盥	glc
观	gld
掼	glda
管	gle
棺	glea
莞	gleb
鹳	glf
罐	glg
官	glh
贯	glj
鳏	glja
惯	glk
关	gln
涫	glna
灌	glnb
矜	glo
馆	glr
冠	gls
纶	glsa
傀	gna
跪	gnb
癸	gnba
轨	gnc
匦	gnca
簋	gncb
归	gnd
柜	gne
桂	gnea
桧	gneb
闺	gnh
宄	gnha
庋	gnhb
龟	gnj
贵	gnja
鲑	gnjb
鳜	gnjc
炅	gnk
皈	gnka
炔	gnkb
规	gnm
妫	gnma
刽	gno
刿	gnoa
圭	gnq
硅	gnqa
瑰	gnqb
诡	gnr
鬼	gnu
晷	gnw
跟	gob
根	goe
梗	goea
茛	goeb
庚	goh
赓	goha
耕	goi
鲠	goj
羹	gol
耿	gom
埂	goq
哏	gor
哽	gora
绠	gos
颈	gou
更	gov
艮	gova
亘	govb
伽	gqa
尬	gqb
轧	gqc
尜	gqn
尕	gqna
钆	gqq
咖	gqr
旮	gqra
嘎	gqrb
噶	gqrc
胳	gqt
夹	gqv
佝	gsa
遘	gsb
构	gse
苟	gsea
枸	gseb
篝	gsec
笱	gsed
购	gsj
狗	gsl
媾	gsm
觏	gsma
沟	gsn
彀	gsp
钩	gsq
垢	gsqa
岣	gsqb
诟	gsr
勾	gss
句	gssa
缑	gssb
鞲	gst
够	gsw
估	gta
轱	gtc
蛊	gtca
毂	gtcb
梏	gte
榖	gtea
箍	gteb
菇	gtec
菰	gted
鹄	gtf
鸪	gtfa
贾	gtg
酤	gtga
雇	gth
辜	gti
蛄	gtj
鲴	gtja
牿	gtl
牯	gtla
姑	gtm
瞽	gtma
汩	gtn
沽	gtna
故	gtp
痼	gtpa
锢	gtq
崮	gtqa
钴	gtqb
诂	gtr
咕	gtra
呱	gtrb
嘏	gtrc
罟	gts
鼓	gtt
觚	gtta
股	gttb
臌	gttc
孤	gtu
顾	gtua
谷	gtv
古	gtx
固	gty
骨	gtz
鹘	gtza
扛	gud
杠	gue
筻	guea
桄	gueb
缸	gug
广	guh
戆	guk
犷	gul
逛	gula
光	gun
港	guna
刚	guo
岗	guq
钢	guqa
咣	gur
纲	gus
罡	gusa
肛	gut
胱	guta
冈	guy
改	gza
盖	gzc
芥	gze
概	gzea
赅	gzj
溉	gzn
戤	gzo
垓	gzq
陔	gzqa
钙	gzqb
该	gzr
丐	gzv
蒿	hae
薅	haea
毫	haf
耗	hai
蚝	haj
皓	hak
豪	hal
貉	hala
好	ham
浩	han
濠	hana
灏	hanb
壕	haq
镐	haqa
号	har
嚆	hara
嚎	harb
嗥	harc
颢	hau
昊	haw
郝	hay
伙	hba
攉	hbd
获	hbe
藿	hbea
耠	hbi
货	hbj
蠖	hbja
火	hbk
惑	hbka
活	hbn
霍	hbna
或	hbo
劐	hboa
祸	hbp
镬	hbq
钬	hbqa
锪	hbqb
和	hbr
嚯	hbra
豁	hbv
夥	hbw
黑	hdk
嘿	hdr
嗨	hdra
合	hea
何	heaa
盒	hec
盍	heca
禾	hee
核	heea
荷	heeb
菏	heec
鹤	hef
翮	hefa
阖	heh
阂	heha
劾	hei
贺	hej
蚵	heja
赫	hek
貉	hel
河	hen
涸	hena
壑	heq
和	her
吓	hera
喝	herb
呵	herc
诃	herd
嗬	here
褐	hes
纥	hesa
颌	heu
曷	hew
化	hga
花	hge
桦	hgea
猾	hgl
骅	hgla
滑	hgn
划	hgo
铧	hgq
砉	hgqa
话	hgr
哗	hgra
画	hgv
豁	hgva
华	hgx
徊	hhb
踝	hhba
槐	hhe
怀	hhk
淮	hhn
划	hho
坏	hhq
轰	hic
薨	hie
蕻	hiea
荭	hieb
宏	hih
闳	hiha
虹	hij
烘	hik
黉	hika
洪	hin
鸿	hina
泓	hinb
弘	hip
讧	hir
哄	hira
红	his
訇	hisa
捍	hjd
撖	hjda
撼	hjdb
菡	hje
酣	hjg
寒	hjh
阚	hjha
蚶	hjj
悍	hjk
憨	hjka
焓	hjkb
憾	hjkc
焊	hjkd
汉	hjn
汗	hjna
涵	hjnb
瀚	hjnc
含	hjr
喊	hjra
罕	hjs
鼾	hjt
颔	hju
顸	hjua
函	hjv
旱	hjw
韩	hjwa
翰	hjwb
晗	hjwc
邯	hjy
邗	hjya
荤	hke
阍	hkh
婚	hkm
浑	hkn
混	hkna
溷	hknb
珲	hkq
馄	hkr
诨	hkra
魂	hku
昏	hkw
奂	hla
还	hlb
逭	hlba
欢	hld
换	hlda
擐	hldb
桓	hle
萑	hlea
鬟	hlf
宦	hlh
寰	hlha
鲩	hlj
患	hlk
焕	hlka
豢	hll
獾	hlla
涣	hln
洹	hlna
浣	hlnb
漶	hlnc
痪	hlp
环	hlq
锾	hlqa
唤	hlr
幻	hls
缓	hlsa
缳	hlsb
圜	hly
郇	hlya
会	hna
徽	hnb
徊	hnba
挥	hnd
彗	hnda
茴	hne
秽	hnea
荟	hneb
桧	hnec
哼	hng
蛔	hnj
贿	hnja
蟪	hnjb
虺	hnjc
灰	hnk
恢	hnka
悔	hnkb
惠	hnkc
慧	hnkd
烩	hnke
恚	hnkf
蕙	hnkg
汇	hnn
辉	hnna
洄	hnnb
溃	hnnc
浍	hnnd
毁	hno
珲	hnq
隳	hnqa
堕	hnqb
诙	hnr
咴	hnra
讳	hnrb
诲	hnrc
喙	hnrd
哕	hnre
绘	hns
麾	hnsa
缋	hnsb
晖	hnw
晦	hnwa
卉	hnx
回	hny
很	hob
横	hoe
蘅	hoea
桁	hoeb
恨	hok
恒	hoka
狠	hol
痕	hop
珩	hoq
哼	hor
亨	hou
行	hoy
衡	hoya
虾	hqj
蛤	hqja
铪	hqq
哈	hqr
候	hsa
侯	hsaa
逅	hsb
後	hsba
篌	hse
糇	hsea
鲎	hsj
猴	hsl
瘊	hsp
